File created2022-08-31 20:09:07,226 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:09:07] "GET / HTTP/1.1" 200 1035 0.007999
2022-08-31 20:19:21,197 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:19:21] "GET / HTTP/1.1" 200 1687 0.002999
2022-08-31 20:19:21,220 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:19:21] "GET /css/bootstrap.min.css HTTP/1.1" 304 148 0.000998
2022-08-31 20:19:21,223 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:19:21] "GET /css/style.css HTTP/1.1" 304 140 0.002003
2022-08-31 20:19:21,225 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:19:21] "GET /js/bootstrap.bundle.js HTTP/1.1" 304 150 0.001002
2022-08-31 20:20:10,445 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:10] "GET / HTTP/1.1" 200 1687 0.002014
2022-08-31 20:20:10,468 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:10] "GET /css/bootstrap.min.css HTTP/1.1" 304 148 0.002002
2022-08-31 20:20:10,471 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:10] "GET /css/style.css HTTP/1.1" 304 140 0.002000
2022-08-31 20:20:10,477 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:10] "GET /js/bootstrap.bundle.js HTTP/1.1" 304 150 0.004999
2022-08-31 20:20:13,074 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:13] "GET / HTTP/1.1" 200 1687 0.001000
2022-08-31 20:20:13,114 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:13] "GET /css/bootstrap.min.css HTTP/1.1" 304 148 0.003005
2022-08-31 20:20:13,118 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:13] "GET /css/style.css HTTP/1.1" 304 140 0.001992
2022-08-31 20:20:13,121 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:13] "GET /js/bootstrap.bundle.js HTTP/1.1" 304 150 0.002003
2022-08-31 20:20:14,073 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:14] "GET / HTTP/1.1" 200 1687 0.001014
2022-08-31 20:20:14,098 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:14] "GET /css/bootstrap.min.css HTTP/1.1" 304 148 0.001995
2022-08-31 20:20:14,100 - __main__ - 1226 - INFO - 192.168.0.121 - - [2022-08-31 20:20:14] "GET /css/style.css HTTP/1.1" 304 140 0.001000
